appear_frame,start_road,finish_road,velocity1,velocity2
3.0,0,3,0.0,0.0
2465.0,1,0,5.862921283520026,228.4313616169476
3.0,0,1,2.0421029905120704,4.628680559241736
3.0,3,0,1.541901328781447,8.737141061439338
1346.0,2,3,5.987429465617678,0.2421598139391402
222.0,2,3,4.4928720289138875,0.2746826091681411
1619.0,0,3,0.0,0.0
1787.0,0,2,4.950304404821589,0.0
1810.0,3,0,1.7370513353283612,246663.0266679626
1277.0,3,1,1.8566679605918408,51.98169039432817
1263.0,0,3,0.0,0.0
1582.0,0,2,0.526018940791808,0.0
382.0,2,0,10.200382363004723,0.44391907940384007
292.0,1,0,4.688111902426992,25.77407248305814
95.0,2,3,6.271597828028752,0.07840787532942753
1751.0,0,3,9.811731060806434,0.48954259563343416
2558.0,1,0,5.800932754700337,0.7910590568850361
474.0,2,0,4.550634993564184,0.6501703146862893
1560.0,1,3,2.7097831678184225,1.5413552736939111
2023.0,2,3,9.908944687630925,1.1502235683957254
1755.0,2,0,1.8044389982453495,0.22556067948037004
2617.0,0,1,0.7634572426010422,8.652139764596479
19.0,1,0,3.8357698560532,0.6463318784484425
414.0,0,3,0.0,0.0
3.0,3,2,0.3555830229375587,530174.642782923
1989.0,2,0,2.5899785610975132,0.7052015130564914
538.0,1,0,5.177233143275407,0.15391033565707865
2306.0,1,0,5.193674267082138,1.0554211786214422
522.0,0,3,2.3211401094810116,0.023543304961069607
99.0,0,2,3.089079314390296,0.0
2198.0,1,0,4.9299650392568966,0.8574029310103656
1071.0,0,2,1.1025386587494197,0.0
3.0,0,2,1.351379234697375,0.0
2386.0,1,0,6.396306258518375,1.1506860233325922
2675.0,2,0,3.4373333756840827,0.054291490362829306
2706.0,2,0,1.7213355410593527,0.012576965690764387
142.0,2,0,3.6638426312539587,0.48940560214233064
1888.0,2,0,2.547362019577074,0.5775475421489618
104.0,0,2,3.769745705345666,0.0
2291.0,2,3,10.966304917796023,0.17136725555178203
698.0,3,2,0.7185397398315003,289.4271608415438
2760.0,0,3,1.4131110357173762,0.24266725304018255
2452.0,0,2,1.0295832103964575,0.0
15.0,0,2,10.817199234881413,0.0
406.0,0,3,7.313739804597305,0.28156815293265264
1468.0,2,3,8.223117431991167,0.6667800963092064
2096.0,1,0,5.152749423164429,1.0208472060147318
1942.0,0,2,0.6436662984176715,0.0
1207.0,0,1,4.97530200696993,1.279468968450511
1706.0,3,0,1.0406824201871272,78.01269550749089
1163.0,0,2,0.3903654972419468,0.0
1586.0,2,0,14.080975781819431,0.4404567594013078
389.0,2,0,4.004776442467335,0.7328028042541856
292.0,2,1,4.7089414486418315,0.21424709740877565
